38,豆苗,112266,300
40,レタス,344,100
41,シイタケ,54,400
43,タマゴタケ,0,90
44,なす,0,90
45,ロマネスコ,40,100
46,ゴーヤ,0,100
47,いぶりがっこチーズ,0,250
48,ひろみ,30,20
50,せい,0,10000
51,コーヒー,90,120
55,おちゃ,5,100
56,ビール,0,190
57,チョコ,100,200
58,お餅,0,50
59,タラタラしてんじゃねーよ！,0,50
60,うまい棒,600,12
61,ヤッター麺,0,20
62,ビックカツ,80,100
67,からあげ,0,500
68,カレー,0,500
69,コロッケ,1,300
70,寿司,2,1000
79,ちくわ,0,100
80,季の美,5,5000
81,はせのうんち,0,1
82,もやし,0,30
83,にら,1,300
84,とうふ,2,1000
85,こんにゃく,5,200
86,うどん,2,300
87,トマト,0,100
88,米,1,2000
89,醤油,1,800
90,ごま油,1,300
91,豚バラ,5,300
